version,interestingApp,status,name,latestUpdate,storeName,releaseDate,providerCategory,healthEntityInvolved,EU,geographicCoverage,continents,appCategory,appFunctionalityCategory,appFunctionality,typesOfPersonalData ,clearPrivacyPolicy 
1,no,active,Asistente COVID-19 Sinaloa,2020-05-15T15:59:30,GooglePlay (Android),"Apr 27, 2020",local/regional government,no,no,MEX,North America,covid-19 specific,information provision; information exchange; personalised support without data sharing,,,
1,yes,active,CovidPR,2020-05-29T18:10:04,GooglePlay (Android),"Jun 2, 2020",local/regional government,consortium,no,BRA,South America,covid-19 specific,expert support; information provision; information exchange; contact tracing; notifications,monitor overall situation; news; self-diagnosis with data sharing; occasional location sharing; sending instructions,health status; other,yes
1,no,active,COVID-19 Sounds,2020-05-27T21:04:38,GooglePlay (Android),"Mar 26, 2020",university(ies) or research centre(s),no,no,GBR,Europe,covid-19 specific,information exchange,,location as gps/cell tower data; health status; other,yes
1.0.4,no,active,Covid-19,2020-03-11T13:58:32,GooglePlay (Android),"Mar 2, 2020",other type of company,health facilities,yes,ITA,Europe,covid-19 influenced,expert support; personalised support without data sharing; information exchange; notifications,,,
1.2.6,yes,notactive,Sardegna Sicura,2020-06-12T15:23:11,GooglePlay (Android),"Mar 28, 2020",local/regional government,no,yes,ITA,Europe,covid-19 specific,contact tracing; lockdown management,continuous location sharing; mobility checking,proximity; location as gps/cell tower data; other,no
1,yes,active,Covid SafePass,2020-05-29T18:59:26,GooglePlay (Android),"May 10, 2020",health company,consortium,no,USA,North America,covid-19 specific,expert support; personalised support without data sharing; information exchange,telemedicine; self-diagnosis without data sharing; risk assessment with data sharing,health status; other,no
1.0,no,active,ImSafe,2020-03-04T09:05:53,GooglePlay (Android),"Feb 26, 2020",technology company,no,no,VNM,Asia,health-generic,information provision; personalised support without data sharing; lockdown management,,,
1.1,no,active,SmartCadre Sarvam Setu,2020-04-29T04:10:53,GooglePlay (Android),"Apr 25, 2020",technology company,no,no,IND,Asia,covid-19 specific,notifications,,,
0.1.5,no,active,APS Ayacucho Plataforma de Servicios,2020-05-13T05:53:06,GooglePlay (Android),"May 9, 2020",technology company,no,no,PER,South America,health-generic,information provision; information exchange; notifications,,location as gps/cell tower data; health status; other,yes
1,yes,active,Lynx-Virtual,2020-04-15T07:00:00,GooglePlay (Android),"Mar 20, 2020",technology company, health authority; health facilities,no,ZAF,Africa,covid-19 specific,expert support; personalised support without data sharing; information exchange; contact tracing; lockdown management,manage test; symptoms monitoring without data sharing; symptoms monitoring with data sharing; continuous location sharing; mobility checking,proximity; location as gps/cell tower data; health status; other,no
1,no,active,Movimenta Recife,2020-04-16T18:12:39,GooglePlay (Android),"Mar 19, 2020",local/regional government,no,no,BRA,South America,other,other,,,
1,no,active,BAMRAS,2020-04-15T06:33:50,GooglePlay (Android),"Apr 10, 2019",health company,no,no,USA,North America,health-generic,expert support; information provision,telemedicine; access to health services,,
1.0.4,no,notactive,StayHome Bhutan,2020-04-15T16:08:27,GooglePlay (Android),,national government,health authority,no,BTN,Asia,health-generic,lockdown management,,location as gps/cell tower data; health status; positive status,no
,yes,active,HowWeFeel: The How We Feel Project,,GooglePlay (Android),"Mar 26, 2020",technology company,no,yes,ITA,Europe,covid-19 specific,information exchange; notifications; lockdown management,self-diagnosis with data sharing; manage self-isolation; sending notifications,health status,yes
1,no,active,NIOSH PPE Tracker,2020-04-29T15:51:17,GooglePlay (Android),"Apr 28, 2020",national government,health authority,no,USA,North America,covid-19 specific,expert support,,,
1.1.3,no,active,CoronaBD,2020-04-27T15:17:20,GooglePlay (Android),"Mar 30, 2020",national government,health authority,no,BGD,Asia,covid-19 specific,information provision; information exchange,,,
1.4.2,no,active,Моя Москва — официальное приложение портала mos.ru,2020-04-06T15:38:11,GooglePlay (Android),"Dec 27, 2018",local/regional government,no,no,RUS,Europe,other,other,,,
1,no,active,TreCovid19,2020-04-20T18:59:33,GooglePlay (Android),"Mar 27, 2020",local/regional government,consortium,yes,ITA,Europe,covid-19 specific,information provision; personalised support without data sharing,,,
1.0.0,no,active,Test Yourself Goa,2020-03-21T08:50:44,GooglePlay (Android),"Mar 20, 2020",technology company,na,no,IND,Asia,covid-19 specific,personalised support without data sharing,,,
1.0.0,yes,active,CONFINAPP,2020-04-07T15:22:27,GooglePlay (Android),"Apr 7, 2020",local/regional government,na,yes,ESP,Europe,covid-19 specific,information provision; information exchange; lockdown management; notifications,prevention; news; sending notifications; exit management; manage self-isolation,,na
1.0,yes,active,COCOA - COVID-19 Contact App,2020-06-17T01:22:01,GooglePlay (Android),"Jun 11, 2020",national government,health authority,no,JPN,Asia,covid-19 specific,contact tracing; information exchange; notifications,proximity tracking; sending notifications; sending instructions; self-diagnosis with data sharing,proximity; positive status; health status,yes
1.2.4,yes,active,Tawakkalna (Covid-19 KSA),2020-05-15T06:45:28,GooglePlay (Android),"Apr 6, 2020",national government,health authority,no,SAU,Asia,covid-19 specific,information provision; information exchange; contact tracing; notifications; lockdown management,statistics; news; symptoms monitoring with data sharing; continuous location sharing; sending notifications; sending instructions; mobility checking,location as gps/cell tower data; health status,na
1,no,active,Bupa Aged Care Connect,2020-04-20T16:41:30,GooglePlay (Android),"Apr 3, 2020",health company,health facilities,no,AUS,Oceania,covid-19 specific,expert support; notifications; information provision; information exchange,monitor overall situation; telemedicine; prevention; news; access to health services; manage self-isolation; communication with a doctor; sending notifications,,
2.2.3.1702,yes,active,SwiftMED,2020-05-17T11:36:13,GooglePlay (Android),"Feb 22, 2020",other type of company,no,no,SGP,Asia,covid-19 specific,information provision; information exchange; contact tracing; notifications; lockdown management,news; symptoms monitoring with data sharing;continuous location sharing; sending notifications; sending instructions; mobility checking,proximity; location as gps/cell tower data; health status; other,no
0.5.85.850,no,active,Stop COVID-19 KG,2020-05-07T03:06:35,GooglePlay (Android),"Mar 23, 2020",other type of company,consortium,no,KGZ,Asia,covid-19 specific,information exchange,,location as gps/cell tower data; positive status; other,no
1.0.2,yes,notactive,Covid-19 Boyacá,2020-05-18T14:23:48,GooglePlay (Android),"May 1, 2020",local/regional government,health authority,no,COL,South America,covid-19 specific,information provision; information exchange; contact tracing,statistics; self-diagnosis with data sharing; continuous location sharing,proximity; location as gps/cell tower data; health status,no
1.7.4,no,active,Karantinas,2020-05-12T08:57:20,GooglePlay (Android),"Apr 3, 2020",national government,na,yes,LTU,Europe,covid-19 specific,information provision; personalised support without data sharing; lockdown management; notifications,prevention; news; access to health services; symptoms monitoring with data sharing; sending instructions; mobility for citizen in lockdown;,,no
1.1.0,yes,active,Rakning C-19,2020-04-19T17:05:01,GooglePlay (Android),"Mar 31, 2020",national government,health authority,no,ISL,Europe,covid-19 specific,contact tracing,proximity tracking; sending notifications; sending instructions,location as gps/cell tower data; positive status; other,yes
1.12.0,no,active,Kavach,2020-05-09T18:16:23,GooglePlay (Android),"Apr 3, 2020",local/regional government,na,no,IND,Asia,covid-19 specific,information provision; personalised support without data sharing; notifications,,,
2.5.62,yes,active,GERAK MALAYSIA,2020-05-06T04:50:31,GooglePlay (Android),"Apr 8, 2020",national government,health authority,no,MYS,Asia,covid-19 specific,information provision; contact tracing; notifications; lockdown management,news; prevention; proximity tracking; sending notifications; mobility checking,proximity; location as province/region; location as gps/cell tower data; other,no
1,no,active,Jec-Pantau Kami,2020-04-21T15:57:12,GooglePlay (Android),,health company,health facilities,no,IDN,Asia,covid-19 specific,expert support; information exchange,training; symptoms monitoring with data sharing,,
3.2.0,no,active,Atende em Casa,2020-05-14T02:26:49,GooglePlay (Android),"Mar 27, 2020",local/regional government,na,no,BRA,South America,covid-19 specific, personalised support without data sharing; information exchange,,,
5.4.22,no,active,Colab,2020-04-30T14:34:23,GooglePlay (Android),"Mar 6, 2013",technology company,no,no,BRA,South America,covid-19 influenced,information provision,,,
1,no,active,Detector COVID-19 Toluca,2020-04-08T08:44:40,GooglePlay (Android),,local/regional government,na,no,MEX,North America,covid-19 specific,information exchange; notifications,,,
,no,active,Monitora Covid-19,,GooglePlay (Android),"Mar 28, 2020",local/regional government,no,no,BRA,South America,covid-19 specific,information exchange,symptoms monitoring with data sharing,,
1.0.432,yes,active,eRouška - part of smart quarantine,2020-05-09T19:26:38,GooglePlay (Android),"Apr 10, 2020",national government,health authority; health facilities,yes,CZE,Europe,covid-19 specific,contact tracing; notifications,proximity tracking; sending notifications,proximity; positive status; other,yes
1.0.4,yes,active,Co-Vivre 20,2020-04-16T20:16:07,GooglePlay (Android),"Mar 29, 2020",technology company,health authority,no,TUN,Africa,health-generic,expert support; information provision; information exchange; notifications,telemedicine,location as province/region; location as gps/cell tower data; health status; other,no
2.1 release,yes,active,Telangana Covid19 Tracker,2020-05-05T12:59:34,GooglePlay (Android),"Apr 11, 2020",local/regional government,consortium,no,IND,Asia,covid-19 specific,lockdown management,mobility checking,location as province/region; location as gps/cell tower data; other,yes
3.39,no,active,RajCop Citizen,2020-05-09T10:00:46,GooglePlay (Android),"Dec 13, 2012",local/regional government,no,no,IND,Asia,covid-19 influenced,information provision; lockdown management,,,
TCovid-1.0.5,no,active,T COVID'19,2020-04-14T07:33:49,GooglePlay (Android),"Apr 8, 2020",local/regional government,na,no,IND,Asia,covid-19 specific,information provision,,,
1.0.2,no,active,MAFFアプリ,2020-05-05T09:40:18,GooglePlay (Android),"Apr 27, 2020",national government,na,no,JPN,Asia,other,other,,,
2.0,yes,active,Fight Covid,2020-05-01T07:38:24,GooglePlay (Android),"Apr 4, 2020",community,consortium,no,IND,Asia,covid-19 specific,information exchange; lockdown management,news; mobility checking,location as province/region; location as gps/cell tower data; other,yes
3,no,active,Corontine,2020-05-05T18:01:52,GooglePlay (Android),"Apr 21, 2020",university(ies) or research centre(s),consortium,no,IND,Asia,covid-19 specific,lockdown management,,,
1,no,active,Terr-eSanté eCovid,2020-05-26T19:33:12,GooglePlay (Android),,health company,health facilities,yes,FRA,Europe,covid-19 specific,expert support; information exchange,,health status; other,yes
,no,active,Heal: Telehealth & House Calls,,GooglePlay (Android),"May 5, 2015",health company,health authority,no,USA,North America,health-generic,information exchange; expert support,telemedicine,,
,no,active,COVID Coach,,GooglePlay (Android),"Apr 17, 2020",national government,no,no,USA,North America,covid-19 specific,information exchange,manage self-isolation,,
1.0,yes,active,Dasoha 2020 Food Delivery,2020-04-05T07:28:06,GooglePlay (Android),"Apr 1, 2020",local/regional government,no,no,IND,Asia,other,other,,location as gps/cell tower data; other,no
1.3.0,no,active,Chikitsa Setu,2020-05-18T23:28:39,GooglePlay (Android),"May 18, 2020",local/regional government,no,no,IND,Asia,covid-19 specific,information provision,,,
2,no,active,UCLH COVID-19,2020-05-05T16:18:21,GooglePlay (Android),"May 5, 2020",local/regional government,health facilities,no,GBR,Europe,covid-19 specific,expert support,,,
,yes,active,ViruSafe,,GooglePlay (Android),"Apr 6, 2020",national government,health authority,yes,BGR,Europe,covid-19 specific,information provision; information exchange; notifications,statistics; self-diagnosis with data sharing; news,proximity; health status; location as gps/cell tower data,yes
1,no,active,Santé LU,2020-04-22T00:33:38,GooglePlay (Android),"Feb 1, 2019",national government,health authority,yes,LUX,Europe,health-generic,notifications,,,
1,no,active,Spectrum - Clinical Decisions,2020-04-19T08:41:38,GooglePlay (Android),"Oct 15, 2016",health company,no,no,CAN,North America,covid-19 influenced,expert support; information exchange; notifications,,,
3.8,no,notactive,DOH RemoteCare,2020-05-16T09:26:40,GooglePlay (Android),"Mar 19, 2020",national government,health authority,no,ARE,Asia,health-generic,other-health,,,
1.4.0,yes,active,Coronika - Your corona diary,2020-04-30T13:16:23,GooglePlay (Android),"Mar 12, 2020",technology company,na,yes,DEU,Europe,covid-19 specific,information provision; contact tracing; notifications,prevention; news; occasional location sharing; sending notifications,location as province/region; location as gps/cell tower data,yes
1,yes,active,CovidRadar.mx,2020-04-19T12:33:40,GooglePlay (Android),,local/regional government,health authority,no,MEX,North America,covid-19 specific,contact tracing; notifications,continuous location sharing; sending notifications,proximity,no
5.0.0,no,active,Corona Manager - Ashoknagar,2020-05-04T05:51:59,GooglePlay (Android),"Apr 9, 2020",technology company,no,no,IND,Asia,covid-19 specific,lockdown management,,,
,no,active,GNDI Easy,,GooglePlay (Android),"Sep 3, 2018",health company,no,no,BRA,South America,health-generic,information provision; information exchange; other-health,,,
1,no,active,Cuidémonos,2020-04-14T19:43:44,GooglePlay (Android),"Mar 21, 2020",local/regional government,health authority,no,COL,South America,health-generic,information provision; information exchange; expert support,,,
1,yes,active,HMushrif,2020-05-15T07:00:00,GooglePlay (Android),"May 16, 2020",national government,health facilities,no,OMN,Asia,covid-19 specific, information exchange; expert support; contact tracing,"monitor overall situation; symptoms monitoring with data sharing;
manage self-isolation;
continuous location sharing",location as gps/cell tower data; health status,na
12.0,no,active,"Trackmatic An Initiative by Morigaon Police, Assam",2020-04-22T08:55:03,GooglePlay (Android),"Mar 27, 2020",local/regional government,no,no,IND,Asia,health-generic,information provision,,,
,no,active,healthdirect,,GooglePlay (Android),,health company,no,no,AUS,Oceania,covid-19 specific,information provision,self-diagnosis without data sharing; news,,
1.1,no,active,Coronavirus Help,2020-04-23T07:48:32,GooglePlay (Android),"Mar 26, 2020",community,no,no,GBR,Europe,covid-19 specific,information provision,,,
1,no,active,Loop Health,2020-05-12T08:08:44,GooglePlay (Android),"Nov 8, 2019",health company,health facilities,no,USA,North America,health-generic,other-health,,,
Varies with device,no,active,GovHK Notifications,2019-12-23T06:30:09,GooglePlay (Android),"Aug 15, 2012",national government,no,no,HKG,Asia,other,other,,,
,no,active,"Ask Apollo — Consult Doctors, Order Medicines",,GooglePlay (Android),"Jan 18, 2018",health company,health authority,no,IND,Asia,health-generic,information provision; information exchange,,,
1,no,notactive,Sentinel Monitor (COVID-19 Management),2020-04-23T20:04:45,GooglePlay (Android),"Mar 8, 2020",health company,health facilities,no,USA,North America,covid-19 specific,personalised support without data sharing,,,
1,no,active,e-Covid SINFONIA,2020-05-26T17:12:00,GooglePlay (Android),,health company,consortium,yes,ITA,Europe,covid-19 specific,information exchange,,,
1.0,no,active,Shuurkhai 119,2020-04-21T06:45:38,GooglePlay (Android),,national government,consortium,no,MNG,Asia,covid-19 specific,information provision,,,
5.5.000.007,no,active,StayHome App,2020-04-08T09:06:44,GooglePlay (Android),"Mar 25, 2020",national government,no,no,ARE,Asia,covid-19 specific,lockdown management,,,
11.3,no,active,Vecino Salud,2020-04-18T16:25:59,GooglePlay (Android),"Mar 25, 2020",local/regional government,na,no,ARG,South America,covid-19 specific,information provision; personalised support without data sharing,,,
1.7.3,yes,active,Дія,2020-05-14T11:32:47,GooglePlay (Android),"Feb 5, 2020",national government,no,no,UKR,Europe,covid-19 specific,information provision; notifications,prevention; news; sending notifications,other,na
0.1.5,yes,active,BeAware Bahrain,2020-05-02T12:14:52,GooglePlay (Android),"Mar 22, 2020",national government,health authority,no,BHR,Asia,covid-19 specific,information provision; contact tracing; notifications; lockdown management,statistics; news; proximity tracking; continuous location sharing; sending notifications; mobility for citizen in lockdown,proximity; location as gps/cell tower data; positive status,no
3.0,yes,active,Jan Aapurti - Uttarakhand,2020-04-19T10:20:41,GooglePlay (Android),"Apr 6, 2020",local/regional government,no,no,IND,Asia,other,lockdown management,,other,no
1.0.0,no,active,GVA Coronavirus,2020-04-07T10:18:48,GooglePlay (Android),"Apr 7, 2020",local/regional government,health authority,yes,ESP,Europe,covid-19 specific,expert support; information provision; information exchange; personalised support without data sharing,,,
1,no,active,COVID-19 Virginia Resources,2020-04-27T19:01:55,GooglePlay (Android),"May 3, 2020",local/regional government,health authority,no,USA,North America,covid-19 specific,information provision,,,
,no,active,COVIDCare NI,,GooglePlay (Android),"Mar 24, 2020",national government,no,no,GBR,Europe,covid-19 specific,notifications,sending notifications,,
3.0,no,active,Uttarakhand CV 19 Tracking System,2020-03-26T11:49:07,GooglePlay (Android),"Mar 26, 2020",local/regional government,health authority,no,IND,Asia,covid-19 specific,information provision,,,
,yes,active,COVID Symptom Study,,GooglePlay (Android),"Mar 27, 2020",university(ies) or research centre(s),no,no,GBR,Europe,covid-19 specific,information exchange,symptoms monitoring with data sharing,proximity; positive status; health status,yes
1,no,active,( Tetamman ) تطمن,2020-05-22T16:33:20,GooglePlay (Android),"Mar 25, 2020",national government,health authority,no,SAU,Asia,covid-19 specific,information provision; information exchange; notifications; lockdown management; other-health,prevention; symptoms monitoring with data sharing; communication with a doctor; sending notifications; mobility for citizen in lockdown,,
1.1.0,no,active,Test Yourself Puducherry,2020-04-03T21:20:02,GooglePlay (Android),"Mar 28, 2020",other type of company,no,no,USA,North America,covid-19 specific,personalised support without data sharing,,,
0.0.5,yes,active,Bardghat Municipality - COVID-19/Disaster Response,2020-04-27T11:35:06,GooglePlay (Android),"Apr 25, 2020",technology company,no,no,NPL,Asia,covid-19 specific,information provision; lockdown management,statistics; news; mobility checking,location as gps/cell tower data; other,no
1.0.1,no,active,Korona Önlem,2020-04-20T15:07:37,GooglePlay (Android),"Mar 20, 2020",national government,health authority,no,TUR,Europe,covid-19 specific,information provision; information exchange,,,
1.0.4,no,active,Coronavirus Australia,2020-04-23T23:22:04,GooglePlay (Android),"Mar 28, 2020",national government,health authority,no,AUS,Oceania,covid-19 specific,information provision; personalised support without data sharing; notifications,,,
1.0.5,no,notactive,Covid-19 Armenia,2020-04-08T10:39:00,GooglePlay (Android),"Apr 1, 2020",national government,na,no,ARM,Europe,covid-19 specific,information provision; personalised support without data sharing,,,
,no,active,Doximity - Medical Network,,GooglePlay (Android),"Feb 18, 2011",health company,no,no,USA,North America,health-generic,information provision; information exchange,,,
v1.0.2.4,yes,active,Prayagraj COVID19 Hotspots,2020-05-11T12:57:15,GooglePlay (Android),"Apr 19, 2020",technology company,no,no,IND,Asia,covid-19 specific,information provision;  contact tracing,statistics; continuous location sharing,,no
1.3,no,active,West Bengal Emergency Fund,2020-04-06T09:05:05,GooglePlay (Android),"Mar 31, 2020",local/regional government,no,no,IND,Asia,covid-19 specific,other,,,
,no,active,COVID-19MX,,GooglePlay (Android),"Mar 28, 2020",national government,no,no,MEX,North America,covid-19 specific,information provision; information exchange,self-diagnosis with data sharing; news,,
1.0.17,no,active,C19 Test La Rioja,2020-04-22T15:46:41,GooglePlay (Android),"Mar 30, 2020",local/regional government,health authority,yes,ESP,Europe,covid-19 specific,information provision,,,
1.2,no,notactive,H.A.R.D. - Safende,2020-05-01T23:03:15,GooglePlay (Android),"Apr 7, 2020",technology company,no,no,CPV,Africa,health-generic,information provision; information exchange,,,
1,no,notactive,Investor Services,2020-04-21T10:01:49,GooglePlay (Android),"May 13, 2019",health company,no,no,SAU,Asia,other,other,,,
3.6,yes,notactive,SM_Covid19,2020-05-12T17:58:33,GooglePlay (Android),"Apr 12, 2020",technology company,no,yes,ITA,Europe,covid-19 specific,information provision; information exchange; contact tracing,statistics; access to health services; proximity tracking; continuous location sharing,proximity; location as gps/cell tower data; positive status; positive status,yes
3.4,no,active,COVID19 - DXB Smart App,2020-05-10T11:43:20,GooglePlay (Android),"Apr 1, 2020",national government,health authority,no,UAE,Asia,covid-19 specific,information provision,,,
1.0.8,no,active,Self Shield: AI Driven Health Checkup & Monitoring,2020-05-28T21:35:37,GooglePlay (Android),"May 16, 2020",non-profit organization,no,no,LKA,Asia,health-generic,information exchange,,other,no
1.16,no,active,Jan Sahayak - HelpMe App,2020-05-13T14:37:29,GooglePlay (Android),"Apr 7, 2020",local/regional government,no,no,IND,Asia,covid-19 influenced,information exchange; other-health,,,
2.4.0,no,active,Saw Saw Shar,2020-05-17T07:38:36,GooglePlay (Android),"Apr 12, 2020",technology company,na,no,MMR,Asia,covid-19 specific,information provision,,,
1.5.0,no,active,MySNS,2018-09-15T12:49:27,GooglePlay (Android),"Sep 14, 2016",national government,health authority,yes,PRT,Europe,health-generic,other-health,,,
,no,active,Coronavirus UY,,GooglePlay (Android),"Mar 20, 2020",national government,no,no,URY,South America,covid-19 specific,information exchange,self-diagnosis with data sharing,,
1.0.10,yes,active,CG Covid-19 ePass,2020-05-11T06:31:09,GooglePlay (Android),"Mar 28, 2020",local/regional government,no,no,IND,Asia,covid-19 specific,lockdown management,mobility checking,location as province/region; other,yes
1.3,yes,active,Cachoeirinha Contra o Coronavírus,2020-05-14T03:31:20,GooglePlay (Android),"Mar 28, 2020",technology company,consortium,no,BRA,South America,covid-19 specific,information provision; information exchange,statistics; news; self-diagnosis with data sharing; symptoms monitoring with data sharing,health status; other,no
1.6.0,no,active,allertaLOM,2020-04-20T13:21:27,GooglePlay (Android),"Dec 11, 2019",local/regional government,health authority,yes,ITA,Europe,covid-19 influenced,information exchange; notifications,,,
,no,active,MyAus COVID-19,,GooglePlay (Android),"Apr 23, 2020",national government,health authority,no,AUS,Oceania,covid-19 specific,information exchange,self-diagnosis with data sharing,,
1.2.75,no,active,Дій вдома,2020-05-17T09:10:07,GooglePlay (Android),"Apr 3, 2020",national government,health authority,no,UKR,Europe,covid-19 specific,information exchange; notifications; lockdown management,,,
,no,active,"SehatQ: Doctor Consultation, Online Appointment",,GooglePlay (Android),"Aug 28, 2019",health company,no,no,IDN,Asia,health-generic,information provision; information exchange; expert support,,,
1.0.3,no,active,Āwhina - informing health workers,2020-05-26T17:05:02,GooglePlay (Android),"May 26, 2020",national government,health authority,no,NZL,Oceania,covid-19 specific,information provision,,,
1.0.12,yes,active,Corona Tracer BD,2020-06-06T23:26:52,GooglePlay (Android),"Jun 1, 2020",national government,no,no,BGD,Asia,covid-19 specific,contact tracing; information exchange; notifications,proximity tracking; sending notifications; sending instructions; self-diagnosis with data sharing,proximity; positive status; health status; gpsoptional; other,yes
1.5.1,yes,active,MorChana - หมอชนะ,2020-04-28T17:35:41,GooglePlay (Android),"Apr 1, 2020",national government,na,no,THA,Asia,covid-19 specific,information provision; information exchange; personalised support without data sharing; contact tracing ,occasional location sharing; sending notifications,health status; proximity; location as gps/cell tower data,no
1,yes,active,VírusRadar,2020-05-29T08:52:12,GooglePlay (Android),"May 9, 2020",national government,health authority,yes,HUN,Europe,covid-19 specific,contact tracing,proximity tracking,proximity; other,yes
2.0.0,yes,active,10 Rumah Aman,2020-03-27T17:25:19,GooglePlay (Android),"Mar 27, 2020",national government,na,no,IDN,Asia,covid-19 specific,information provision;personalised support without data sharing; information exchange,statistics; symptoms monitoring without data sharing; symptoms monitoring with data sharing,health status; location as province/region; location as gps/cell tower data,no
1.0,no,active,COVID19 Feedback,2020-03-22T09:51:03,GooglePlay (Android),"Mar 21, 2020",national government,na,no,IND,Asia,covid-19 specific,personalised support without data sharing;information exchange,,,
1.1,no,active,Laos-Covid19 Tracker,2020-04-09T07:06:46,GooglePlay (Android),"Mar 31, 2020",national government,health authority,no,LAO,Asia,covid-19 specific,information provision,,,
1.1.1,yes,active,Aarogya Setu,2020-05-15T17:33:49,GooglePlay (Android),"Apr 1, 2020",national government,health authority,no,IND,Asia,covid-19 specific,information exchange; contact tracing; notifications,symptoms monitoring with data sharing; proximity tracking; continuous location sharing; sending notifications,location as gps/cell tower data; health status,na
1.0.2,yes,active,Immuni,2020-06-06T09:13:08,GooglePlay (Android),"Jun 1, 2020",national government,health authority,yes,ITA,Europe,covid-19 specific,information provision; contact tracing; notifications,prevention; sending notifications; sending instructions; proximity tracking,location as province/region; proximity; health status; positive status; other,yes
3.7.0,no,active,안전디딤돌,2020-05-04T05:11:03,GooglePlay (Android),"Nov 26, 2012",national government,no,no,KOR,Asia,other,other,,,
1.1,no,active,코로나19 지침 검색,2020-04-13T01:16:00,GooglePlay (Android),"Apr 8, 2020",non-profit organization,no,no,KOR,Asia,covid-19 specific,information provision; notifications,,other,no
1,yes,active,Delhi Corona,2020-06-08T09:20:59,GooglePlay (Android),"Apr 24, 2020",local/regional government,no,no,IND,Asia,covid-19 specific,information provision; personalised support without data sharing; lockdown management,statistics; access to health services; self-diagnosis without data sharing; mobility checking,location as gps/cell tower data; other,no
1,yes,active,Plan Jalisco Covid-19,2020-05-12T23:27:37,GooglePlay (Android),,local/regional government,na,no,MEX,North America,covid-19 specific,information provision; contact tracing; notifications,statistics; prevention; proximity tracking; continuous location sharing; occasional location sharing; sending notifications,proximity; location as gps/cell tower data; health status; positive status; other,yes
1.39.3,no,active,Home Quarantine (Kwarantanna domowa),2020-05-06T14:40:31,GooglePlay (Android),"Mar 19, 2020",national government,health authority,yes,POL,Europe,covid-19 specific,lockdown management,,,
